Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0.0/3.14,359,0,3100.0,3147.7825810609406,2414.124400005676,5069.232199923135,363.0,2.0078303181831956,0.0,3100,3400,3500,3600,3800,4000,4300,4400,5100,5100,5100
,Aggregated,359,0,3100.0,3147.7825810609406,2414.124400005676,5069.232199923135,363.0,2.0078303181831956,0.0,3100,3400,3500,3600,3800,4000,4300,4400,5100,5100,5100
